STATE,REGION,PMS,AGO,DPK,LPG,Date,Change in PMS,Change in AGO,Change in DPK,Change in LPG
Ebonyi,South East,₦955.63,"₦1,093.33","₦1,500.00","₦1,100.00",17-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Enugu,South East,₦955.00,"₦1,237.50","₦1,300.00","₦1,301.00",17-May-25,₦0.00,₦12.50,₦0.00,₦1.00
Imo,South East,₦955.00,"₦1,278.75","₦1,300.00","₦1,300.00",17-May-25,₦3.34,₦15.00,-₦125.00,₦25.00
Akwa Ibom,South South,₦916.67,"₦1,145.00","₦1,175.00","₦1,125.00",17-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Bayelsa,South South,₦938.75,"₦1,090.00",₦0.00,"₦1,100.00",17-May-25,-₦3.50,-₦13.75,₦0.00,₦0.00
Cross River,South South,₦905.75,"₦1,246.25","₦1,220.00","₦1,300.00",17-May-25,₦1.34,-₦18.94,-₦3.25,₦165.24
Delta,South South,₦955.63,"₦1,118.63","₦1,363.00","₦1,273.57",17-May-25,-₦1.87,-₦8.57,₦0.00,-₦11.25
Edo,South South,₦925.63,"₦1,187.86","₦1,200.00","₦1,280.00",17-May-25,-₦0.63,₦0.00,₦0.00,₦10.00
Rivers,South South,₦922.50,"₦1,225.00","₦1,200.00","₦1,330.00",17-May-25,₦0.00,₦0.00,₦0.00,₦8.34
Ekiti,South West,₦896.11,"₦1,147.78","₦1,185.71","₦1,141.67",17-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Lagos,South West,₦886.00,"₦1,054.21","₦1,425.00","₦1,132.81",17-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Ogun,South West,₦883.00,"₦1,045.63","₦1,265.00","₦1,121.43",17-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Ondo,South West,₦884.25,"₦1,106.88","₦1,294.75","₦1,225.63",17-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Osun,South West,₦885.00,"₦1,076.88","₦1,292.00","₦1,247.14",17-May-25,-₦1.50,₦3.75,₦0.00,₦0.00
Oyo,South West,₦881.00,"₦1,081.88","₦1,350.00","₦1,193.75",17-May-25,-₦1.50,₦3.75,₦0.00,₦0.00
,National,₦935.83,"₦1,151.82","₦1,317.74","₦1,221.16",18-May-25,-₦0.25,-₦0.27,-₦2.79,-₦5.67
Abuja,North Central,₦921.00,"₦1,141.13","₦1,176.67","₦1,226.67",18-May-25,₦0.07,-₦21.01,₦6.67,-₦9.33
Benue,North Central,₦961.20,"₦1,147.00",₦0.00,"₦1,300.00",18-May-25,-₦2.36,₦8.25,₦0.00,₦0.00
Kogi,North Central,₦919.13,"₦1,131.63","₦1,425.00","₦1,306.25",18-May-25,₦0.25,₦3.13,₦0.00,-₦6.25
Kwara,North Central,₦970.00,"₦1,200.00","₦1,200.00","₦1,300.00",18-May-25,₦5.56,₦0.00,-₦25.00,₦0.00
Nasarawa,North Central,₦918.00,"₦1,116.67","₦1,500.00","₦1,130.00",18-May-25,-₦10.50,-₦18.33,₦0.00,-₦6.67
Niger,North Central,₦933.89,"₦1,143.75","₦1,466.67","₦1,121.43",18-May-25,₦8.89,-₦6.25,-₦33.33,-₦15.24
Plateau,North Central,₦954.00,"₦1,278.00","₦1,275.00","₦1,248.00",18-May-25,-₦2.00,-₦12.00,₦17.00,-₦2.00
Adamawa,North East,₦949.44,"₦1,157.78","₦1,264.44","₦1,205.56",18-May-25,₦19.44,₦24.45,₦24.44,₦22.23
Bauchi,North East,₦942.86,"₦1,174.29","₦1,472.86","₦1,194.29",18-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Borno,North East,"₦1,033.89","₦1,201.67","₦1,475.00","₦1,400.00",18-May-25,₦0.00,₦0.00,₦0.00,-₦16.67
Gombe,North East,₦950.00,"₦1,165.56","₦1,417.78","₦1,238.89",18-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦979.29,"₦1,190.00","₦1,491.67","₦1,350.00",18-May-25,₦4.29,₦4.44,₦4.17,₦12.50
Yobe,North East,₦998.89,"₦1,241.11","₦1,305.56","₦1,178.89",18-May-25,₦2.22,-₦1.11,-₦11.11,-₦1.11
Jigawa,North West,₦933.33,"₦1,225.00","₦1,377.50","₦1,132.50",18-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Kaduna,North West,"₦1,075.56","₦1,190.00","₦1,300.00","₦1,137.50",18-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Kano,North West,₦926.38,"₦1,176.43","₦1,200.00","₦1,280.00",18-May-25,-₦4.37,₦0.00,₦0.00,-₦10.00
Katsina,North West,₦927.50,"₦1,135.71","₦1,314.29","₦1,310.00",18-May-25,₦1.25,₦0.00,-₦7.14,₦8.00
Kebbi,North West,₦925.63,"₦1,176.43","₦1,200.00","₦1,280.00",18-May-25,-₦3.62,₦0.00,₦0.00,-₦6.67
Sokoto,North West,₦972.22,"₦1,167.78","₦1,333.33","₦1,183.33",18-May-25,₦3.47,₦1.53,₦33.33,₦33.33
Zamfara,North West,"₦1,058.75","₦1,163.75","₦1,200.00","₦1,196.25",18-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Abia,South East,₦945.00,"₦1,260.00","₦1,302.86","₦1,300.00",18-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Anambra,South East,₦922.22,"₦1,160.00","₦1,375.00","₦1,176.67",18-May-25,-₦4.45,₦27.50,₦61.67,-₦13.33
Ebonyi,South East,₦955.63,"₦1,093.33","₦1,500.00","₦1,100.00",18-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Enugu,South East,₦955.00,"₦1,231.25","₦1,300.00","₦1,300.00",18-May-25,₦0.00,-₦6.25,₦0.00,-₦1.00
Imo,South East,₦955.00,"₦1,278.75","₦1,300.00","₦1,301.00",18-May-25,₦1.46,-₦6.43,₦66.43,-₦12.14
Akwa Ibom,South South,₦918.13,"₦1,138.57","₦1,241.43","₦1,112.86",18-May-25,₦0.00,₦2.00,₦0.00,₦83.33
Bayelsa,South South,₦938.75,"₦1,092.00",₦0.00,"₦1,183.33",18-May-25,₦3.39,₦8.04,₦0.00,₦0.00
Cross River,South South,₦909.14,"₦1,254.29","₦1,220.00","₦1,300.00",18-May-25,-₦20.63,-₦6.30,-₦13.00,-₦8.57
Delta,South South,₦935.00,"₦1,112.33","₦1,350.00","₦1,265.00",18-May-25,-₦0.63,₦2.14,₦0.00,₦8.33
Edo,South South,₦925.00,"₦1,190.00","₦1,200.00","₦1,288.33",18-May-25,₦0.00,₦0.00,₦0.00,₦2.00
Rivers,South South,₦922.50,"₦1,225.00","₦1,200.00","₦1,332.00",18-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Ekiti,South West,₦896.11,"₦1,147.78","₦1,185.71","₦1,141.67",18-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Lagos,South West,₦886.00,"₦1,054.21","₦1,425.00","₦1,132.81",18-May-25,-₦0.62,₦0.00,₦15.00,₦7.14
Ogun,South West,₦882.38,"₦1,045.63","₦1,280.00","₦1,128.57",18-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Ondo,South West,₦884.25,"₦1,106.88","₦1,294.75","₦1,225.63",18-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Osun,South West,₦885.00,"₦1,076.88","₦1,292.00","₦1,247.14",18-May-25,-₦1.00,-₦3.75,₦0.00,₦0.00
Oyo,South West,₦880.00,"₦1,078.13","₦1,350.00","₦1,193.75",18-May-25,-₦1.00,-₦3.75,₦0.00,₦0.00
,National,₦934.87,"₦1,149.04","₦1,321.55","₦1,225.71",19-May-25,-₦0.96,-₦2.78,₦3.81,₦4.55
Abuja,North Central,₦915.50,"₦1,156.50","₦1,170.00","₦1,208.00",19-May-25,-₦5.50,₦15.37,-₦6.67,-₦18.67
Benue,North Central,₦948.18,"₦1,138.75",₦0.00,"₦1,300.00",19-May-25,-₦13.02,-₦8.25,₦0.00,₦0.00
Kogi,North Central,₦919.88,"₦1,131.00","₦1,425.00","₦1,300.00",19-May-25,₦0.75,-₦0.63,₦0.00,-₦6.25
Kwara,North Central,₦970.00,"₦1,200.00","₦1,200.00","₦1,300.00",19-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,₦928.50,"₦1,135.00","₦1,500.00","₦1,136.67",19-May-25,₦10.50,₦18.33,₦0.00,₦6.67
Niger,North Central,₦932.86,"₦1,145.83","₦1,475.00","₦1,125.00",19-May-25,-₦1.03,₦2.08,₦8.33,₦3.57
Plateau,North Central,₦952.22,"₦1,288.89","₦1,255.56","₦1,247.78",19-May-25,-₦1.78,₦10.89,-₦19.44,-₦0.22
Adamawa,North East,₦950.00,"₦1,153.89","₦1,264.44","₦1,205.56",19-May-25,₦0.56,-₦3.89,₦0.00,₦0.00
Bauchi,North East,₦942.86,"₦1,174.29","₦1,472.86","₦1,194.29",19-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Borno,North East,"₦1,033.89","₦1,201.67","₦1,475.00","₦1,400.00",19-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Gombe,North East,₦950.00,"₦1,165.56","₦1,417.78","₦1,238.89",19-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦975.56,"₦1,184.44","₦1,487.50","₦1,337.50",19-May-25,-₦3.73,-₦5.56,-₦4.17,-₦12.50
Yobe,North East,₦993.33,"₦1,243.33","₦1,310.00","₦1,176.67",19-May-25,-₦5.56,₦2.22,₦4.44,-₦2.22
Jigawa,North West,₦931.67,"₦1,225.00","₦1,377.50","₦1,132.50",19-May-25,-₦1.66,₦0.00,₦0.00,₦0.00
Kaduna,North West,"₦1,075.56","₦1,190.00","₦1,300.00","₦1,137.50",19-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Kano,North West,₦927.75,"₦1,176.43","₦1,200.00","₦1,280.00",19-May-25,₦1.37,₦0.00,₦0.00,₦0.00
Katsina,North West,₦927.50,"₦1,137.14","₦1,314.29","₦1,310.00",19-May-25,₦0.00,₦1.43,₦0.00,₦0.00
Kebbi,North West,₦926.25,"₦1,176.43","₦1,200.00","₦1,280.00",19-May-25,₦0.62,₦0.00,₦0.00,₦0.00
Sokoto,North West,₦968.75,"₦1,166.25","₦1,300.00","₦1,244.00",19-May-25,-₦3.47,-₦1.53,-₦33.33,₦60.67
Zamfara,North West,"₦1,058.75","₦1,163.75","₦1,200.00","₦1,196.25",19-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Abia,South East,₦945.00,"₦1,235.00","₦1,302.86","₦1,300.00",19-May-25,₦0.00,-₦25.00,₦0.00,₦0.00
Anambra,South East,₦922.50,"₦1,140.00","₦1,358.33","₦1,140.00",19-May-25,₦0.28,-₦20.00,-₦16.67,-₦36.67
Ebonyi,South East,₦959.29,"₦1,090.00","₦1,500.00","₦1,100.00",19-May-25,₦3.66,-₦3.33,₦0.00,₦0.00
Enugu,South East,₦955.00,"₦1,231.25","₦1,300.00","₦1,300.00",19-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Imo,South East,₦955.00,"₦1,278.75","₦1,300.00","₦1,300.00",19-May-25,-₦1.46,₦1.43,₦83.57,₦62.14
Akwa Ibom,South South,₦916.67,"₦1,140.00","₦1,325.00","₦1,175.00",19-May-25,₦0.00,₦0.00,₦0.00,-₦50.00
Bayelsa,South South,₦938.75,"₦1,092.00",₦0.00,"₦1,133.33",19-May-25,₦2.61,₦5.71,₦0.00,₦0.00
Cross River,South South,₦911.75,"₦1,260.00","₦1,220.00","₦1,300.00",19-May-25,₦20.00,₦5.55,₦13.00,₦8.57
Delta,South South,₦955.00,"₦1,117.88","₦1,363.00","₦1,273.57",19-May-25,₦3.75,₦7.14,-₦6.00,₦0.00
Edo,South South,₦928.75,"₦1,197.14","₦1,194.00","₦1,288.33",19-May-25,₦0.00,-₦9.43,₦0.00,-₦32.00
Rivers,South South,₦922.50,"₦1,215.57","₦1,200.00","₦1,300.00",19-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Ekiti,South West,₦896.11,"₦1,147.78","₦1,185.71","₦1,141.67",19-May-25,-₦1.98,-₦1.19,-₦25.00,₦9.38
Lagos,South West,₦884.02,"₦1,053.02","₦1,400.00","₦1,142.19",19-May-25,-₦0.38,-₦10.00,-₦15.00,₦0.00
Ogun,South West,₦882.00,"₦1,035.63","₦1,265.00","₦1,128.57",19-May-25,-₦1.25,-₦0.63,₦0.00,₦0.00
Ondo,South West,₦883.00,"₦1,106.25","₦1,294.75","₦1,225.63",19-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Osun,South West,₦885.00,"₦1,076.88","₦1,292.00","₦1,247.14",19-May-25,-₦4.12,-₦3.75,₦0.00,₦0.00
Oyo,South West,₦875.88,"₦1,074.38","₦1,350.00","₦1,193.75",19-May-25,-₦4.12,-₦3.75,₦0.00,₦0.00
,National,₦928.64,"₦1,135.03","₦1,322.44","₦1,221.07",20-May-25,-₦6.23,-₦14.01,₦0.89,-₦4.64
Abuja,North Central,₦921.27,"₦1,148.00","₦1,166.67","₦1,206.67",20-May-25,₦5.77,-₦8.50,-₦3.33,-₦1.33
Benue,North Central,₦944.55,"₦1,131.00","₦1,500.00","₦1,300.00",20-May-25,-₦3.63,-₦7.75,"₦1,500.00",₦0.00
Kogi,North Central,₦918.88,"₦1,130.75","₦1,425.00","₦1,287.50",20-May-25,-₦1.00,-₦0.25,₦0.00,-₦12.50
Kwara,North Central,₦970.00,"₦1,200.00","₦1,200.00","₦1,300.00",20-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,₦928.50,"₦1,135.00","₦1,500.00","₦1,136.67",20-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,₦932.86,"₦1,145.83","₦1,475.00","₦1,125.00",20-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Plateau,North Central,₦951.25,"₦1,287.50","₦1,252.50","₦1,251.25",20-May-25,-₦0.97,-₦1.39,-₦3.06,₦3.47
Adamawa,North East,₦949.44,"₦1,157.78","₦1,264.44","₦1,205.56",20-May-25,-₦0.56,₦3.89,₦0.00,₦0.00
Bauchi,North East,₦942.86,"₦1,171.43","₦1,472.86","₦1,194.29",20-May-25,₦0.00,-₦2.86,₦0.00,₦0.00
Borno,North East,"₦1,033.89","₦1,201.67","₦1,475.00","₦1,400.00",20-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Gombe,North East,₦950.00,"₦1,165.56","₦1,417.78","₦1,238.89",20-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦970.71,"₦1,194.29","₦1,483.33","₦1,316.67",20-May-25,-₦4.85,₦9.85,-₦4.17,-₦20.83
Yobe,North East,"₦1,002.22","₦1,240.00","₦1,316.67","₦1,180.00",20-May-25,₦8.89,-₦3.33,₦6.67,₦3.33
Jigawa,North West,₦931.67,"₦1,225.00","₦1,377.50","₦1,132.50",20-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Kaduna,North West,"₦1,075.56","₦1,190.00","₦1,300.00","₦1,150.00",20-May-25,₦0.00,₦0.00,₦0.00,₦12.50
Kano,North West,₦926.25,"₦1,176.43","₦1,200.00","₦1,290.00",20-May-25,-₦1.50,₦0.00,₦0.00,₦10.00
Katsina,North West,₦928.75,"₦1,137.14","₦1,314.29","₦1,280.00",20-May-25,₦1.25,₦0.00,₦0.00,-₦30.00
Kebbi,North West,₦926.13,"₦1,176.43","₦1,200.00","₦1,280.00",20-May-25,-₦0.12,₦0.00,₦0.00,₦0.00
Sokoto,North West,₦968.75,"₦1,161.25","₦1,300.00","₦1,254.00",20-May-25,₦0.00,-₦5.00,₦0.00,₦10.00
Zamfara,North West,"₦1,059.38","₦1,163.75","₦1,200.00","₦1,196.25",20-May-25,₦0.63,₦0.00,₦0.00,₦0.00
Abia,South East,₦945.00,"₦1,260.00","₦1,302.86","₦1,300.00",20-May-25,₦0.00,₦25.00,₦0.00,₦0.00
Anambra,South East,₦920.00,"₦1,143.75","₦1,375.00","₦1,188.33",20-May-25,-₦2.50,₦3.75,₦16.67,₦48.33
Ebonyi,South East,₦953.13,"₦1,090.00","₦1,500.00","₦1,100.00",20-May-25,-₦6.16,₦0.00,₦0.00,₦0.00
Enugu,South East,₦955.00,"₦1,231.25","₦1,300.00","₦1,300.00",20-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Imo,South East,₦955.00,"₦1,268.75","₦1,300.00","₦1,300.00",20-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Akwa Ibom,South South,₦916.67,"₦1,140.00","₦1,325.00","₦1,175.00",20-May-25,-₦1.25,₦0.00,₦0.00,₦16.67
Bayelsa,South South,₦937.50,"₦1,092.00",₦0.00,"₦1,150.00",20-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Cross River,South South,₦911.75,"₦1,260.00","₦1,220.00","₦1,300.00",20-May-25,₦1.11,₦1.12,₦0.33,₦0.81
Delta,South South,₦956.11,"₦1,119.00","₦1,363.33","₦1,274.38",20-May-25,₦0.50,-₦0.71,₦17.25,₦4.67
Edo,South South,₦929.25,"₦1,196.43","₦1,211.25","₦1,293.00",20-May-25,₦0.00,₦5.86,₦0.00,₦20.00
Rivers,South South,₦922.50,"₦1,221.43","₦1,200.00","₦1,320.00",20-May-25,-₦0.55,₦0.00,₦0.00,₦0.00
Ekiti,South West,₦895.56,"₦1,147.78","₦1,185.71","₦1,141.67",20-May-25,₦0.00,-₦3.68,₦0.00,₦0.00
Lagos,South West,₦884.02,"₦1,049.34","₦1,400.00","₦1,142.19",20-May-25,-₦3.57,₦1.25,₦0.00,₦0.00
Ogun,South West,₦878.43,"₦1,036.88","₦1,265.00","₦1,128.57",20-May-25,₦1.25,₦0.63,₦0.00,₦0.00
Ondo,South West,₦884.25,"₦1,106.88","₦1,294.75","₦1,225.63",20-May-25,-₦1.11,-₦5.77,₦0.00,₦9.11
Osun,South West,₦883.89,"₦1,071.11","₦1,292.00","₦1,256.25",20-May-25,₦2.25,₦0.00,₦0.00,₦0.00
Oyo,South West,₦878.13,"₦1,074.38","₦1,350.00","₦1,193.75",20-May-25,₦2.25,₦0.00,₦0.00,₦0.00
,National,₦932.55,"₦1,147.00","₦1,317.28","₦1,228.65",21-May-25,₦3.91,₦11.97,-₦5.16,₦7.58
Abuja,North Central,₦920.21,"₦1,159.14","₦1,166.67","₦1,206.67",21-May-25,-₦1.06,₦11.14,₦0.00,₦0.00
Benue,North Central,₦947.78,"₦1,118.75",₦0.00,"₦1,300.00",21-May-25,₦3.23,-₦12.25,"-₦1,500.00",₦0.00
Kogi,North Central,₦918.88,"₦1,131.38","₦1,425.00","₦1,300.00",21-May-25,₦0.00,₦0.63,₦0.00,₦12.50
Kwara,North Central,₦970.00,"₦1,200.00","₦1,200.00","₦1,300.00",21-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,₦928.50,"₦1,135.00","₦1,500.00","₦1,136.67",21-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,₦930.00,"₦1,145.83","₦1,475.00","₦1,125.00",21-May-25,-₦2.86,₦0.00,₦0.00,₦0.00
Plateau,North Central,₦952.22,"₦1,288.89","₦1,255.56","₦1,247.78",21-May-25,₦0.97,₦1.39,₦3.06,-₦3.47
Adamawa,North East,₦949.44,"₦1,157.78","₦1,265.56","₦1,205.56",21-May-25,₦0.00,₦0.00,₦1.12,₦0.00
Bauchi,North East,₦967.86,"₦1,183.33","₦1,468.33","₦1,196.67",21-May-25,₦25.00,₦11.90,-₦4.53,₦2.38
Borno,North East,"₦1,033.89","₦1,201.67","₦1,475.00","₦1,400.00",21-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Gombe,North East,₦950.00,"₦1,165.56","₦1,417.78","₦1,238.89",21-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦975.56,"₦1,190.00","₦1,487.50","₦1,337.50",21-May-25,₦4.85,-₦4.29,₦4.17,₦20.83
Yobe,North East,₦987.78,"₦1,238.89","₦1,310.00","₦1,180.00",21-May-25,-₦14.44,-₦1.11,-₦6.67,₦0.00
Jigawa,North West,₦931.67,"₦1,225.00","₦1,377.50","₦1,132.50",21-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Kaduna,North West,"₦1,043.33","₦1,176.67","₦1,300.00","₦1,150.00",21-May-25,-₦32.23,-₦13.33,₦0.00,₦0.00
Kano,North West,₦926.25,"₦1,176.43","₦1,200.00","₦1,280.00",21-May-25,₦0.00,₦0.00,₦0.00,-₦10.00
Katsina,North West,₦928.75,"₦1,138.57","₦1,314.29","₦1,310.00",21-May-25,₦0.00,₦1.43,₦0.00,₦30.00
Kebbi,North West,₦925.88,"₦1,176.43","₦1,200.00","₦1,280.00",21-May-25,-₦0.25,₦0.00,₦0.00,₦0.00
Sokoto,North West,₦968.57,"₦1,165.71","₦1,300.00","₦1,254.00",21-May-25,-₦0.18,₦4.46,₦0.00,₦0.00
Zamfara,North West,"₦1,059.38","₦1,163.75","₦1,200.00","₦1,196.25",21-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Abia,South East,₦945.00,"₦1,258.75","₦1,302.86","₦1,300.00",21-May-25,₦0.00,-₦1.25,₦0.00,₦0.00
Anambra,South East,₦921.11,"₦1,120.00","₦1,366.67","₦1,193.33",21-May-25,₦1.11,-₦23.75,-₦8.33,₦5.00
Ebonyi,South East,₦953.13,"₦1,093.33","₦1,500.00","₦1,100.00",21-May-25,₦0.00,₦3.33,₦0.00,₦0.00
Enugu,South East,₦955.00,"₦1,231.25","₦1,300.00","₦1,300.00",21-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Imo,South East,₦955.00,"₦1,268.75","₦1,300.00","₦1,300.00",21-May-25,₦0.21,-₦10.00,-₦110.00,-₦62.14
Akwa Ibom,South South,₦916.88,"₦1,130.00","₦1,215.00","₦1,112.86",21-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Bayelsa,South South,₦937.50,"₦1,092.00",₦0.00,"₦1,150.00",21-May-25,₦0.00,-₦21.25,-₦4.00,₦0.00
Cross River,South South,₦911.75,"₦1,238.75","₦1,216.00","₦1,300.00",21-May-25,-₦1.11,-₦1.75,-₦0.33,-₦0.81
Delta,South South,₦955.00,"₦1,117.25","₦1,363.00","₦1,273.57",21-May-25,₦1.38,-₦2.86,-₦4.58,₦23.25
Edo,South South,₦930.63,"₦1,193.57","₦1,206.67","₦1,316.25",21-May-25,₦0.63,₦11.90,₦0.00,₦10.00
Rivers,South South,₦923.13,"₦1,233.33","₦1,200.00","₦1,330.00",21-May-25,₦0.55,₦2.22,₦0.00,₦28.33
Ekiti,South West,₦896.11,"₦1,150.00","₦1,185.71","₦1,170.00",21-May-25,₦0.00,-₦0.28,₦0.00,₦0.00
Lagos,South West,₦884.02,"₦1,049.06","₦1,400.00","₦1,142.19",21-May-25,₦1.45,-₦2.50,₦0.00,₦0.00
Ogun,South West,₦879.88,"₦1,034.38","₦1,265.00","₦1,128.57",21-May-25,-₦0.62,-₦29.38,-₦4.37,₦0.00
Ondo,South West,₦883.63,"₦1,077.50","₦1,290.38","₦1,225.63",21-May-25,₦0.49,₦2.02,₦0.00,-₦9.11
Osun,South West,₦884.38,"₦1,073.13","₦1,292.00","₦1,247.14",21-May-25,-₦1.25,-₦6.25,₦0.00,₦0.00
Oyo,South West,₦876.88,"₦1,068.13","₦1,350.00","₦1,193.75",21-May-25,-₦1.25,-₦6.25,₦0.00,₦0.00
,National,₦934.45,"₦1,147.93","₦1,317.65","₦1,224.82",22-May-25,₦1.90,₦0.93,₦0.37,-₦3.83
Abuja,North Central,₦920.20,"₦1,164.14","₦1,166.67","₦1,226.67",22-May-25,-₦0.01,₦5.00,₦0.00,₦20.00
Benue,North Central,₦960.00,"₦1,097.50",₦0.00,₦0.00,22-May-25,₦12.22,-₦21.25,₦0.00,"-₦1,300.00"
Kogi,North Central,₦920.63,"₦1,128.88","₦1,425.00","₦1,290.00",22-May-25,₦1.75,-₦2.50,₦0.00,-₦10.00
Kwara,North Central,₦970.00,"₦1,200.00","₦1,200.00","₦1,300.00",22-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,₦928.50,"₦1,135.00","₦1,500.00","₦1,136.67",22-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,₦930.00,"₦1,137.50","₦1,475.00","₦1,103.33",22-May-25,₦0.00,-₦8.33,₦0.00,-₦21.67
Plateau,North Central,₦952.22,"₦1,288.89","₦1,255.56","₦1,245.56",22-May-25,₦0.00,₦0.00,₦0.00,-₦2.22
Adamawa,North East,₦949.44,"₦1,154.44","₦1,265.56","₦1,205.56",22-May-25,₦0.00,-₦3.34,₦0.00,₦0.00
Bauchi,North East,₦937.50,"₦1,171.43","₦1,472.86","₦1,194.29",22-May-25,-₦30.36,-₦11.90,₦4.53,-₦2.38
Borno,North East,"₦1,033.89","₦1,201.67","₦1,475.00","₦1,400.00",22-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Gombe,North East,₦950.00,"₦1,165.56","₦1,417.78","₦1,238.89",22-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦975.56,"₦1,190.00","₦1,487.50","₦1,337.50",22-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Yobe,North East,₦990.00,"₦1,243.33","₦1,314.44","₦1,178.89",22-May-25,₦2.22,₦4.44,₦4.44,-₦1.11
Jigawa,North West,₦931.67,"₦1,225.00","₦1,377.50","₦1,132.50",22-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Kaduna,North West,"₦1,075.56","₦1,190.00","₦1,300.00","₦1,150.00",22-May-25,₦32.23,₦13.33,₦0.00,₦0.00
Kano,North West,₦926.13,"₦1,176.43","₦1,200.00","₦1,280.00",22-May-25,-₦0.12,₦0.00,₦0.00,₦0.00
Katsina,North West,₦928.75,"₦1,137.14","₦1,314.29","₦1,310.00",22-May-25,₦0.00,-₦1.43,₦0.00,₦0.00
Kebbi,North West,₦926.13,"₦1,176.43","₦1,200.00","₦1,290.00",22-May-25,₦0.25,₦0.00,₦0.00,₦10.00
Sokoto,North West,₦968.75,"₦1,166.25","₦1,300.00","₦1,254.00",22-May-25,₦0.18,₦0.54,₦0.00,₦0.00
Zamfara,North West,"₦1,059.38","₦1,163.75","₦1,200.00","₦1,196.25",22-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Abia,South East,₦945.00,"₦1,260.00","₦1,302.86","₦1,300.00",22-May-25,₦0.00,₦1.25,₦0.00,₦0.00
Anambra,South East,₦918.89,"₦1,126.25","₦1,325.00","₦1,190.00",22-May-25,-₦2.22,₦6.25,-₦41.67,-₦3.33
Ebonyi,South East,₦953.13,"₦1,093.33","₦1,500.00","₦1,100.00",22-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Enugu,South East,₦955.00,"₦1,231.25","₦1,300.00","₦1,300.00",22-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Imo,South East,₦955.00,"₦1,278.75","₦1,300.00","₦1,300.00",22-May-25,-₦6.88,-₦16.67,-₦40.00,-₦72.86
Akwa Ibom,South South,₦910.00,"₦1,113.33","₦1,175.00","₦1,040.00",22-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Bayelsa,South South,₦937.50,"₦1,092.00",₦0.00,"₦1,150.00",22-May-25,₦0.00,₦21.25,₦4.00,₦0.00
Cross River,South South,₦911.75,"₦1,260.00","₦1,220.00","₦1,300.00",22-May-25,-₦18.33,-₦3.92,₦2.00,-₦3.57
Delta,South South,₦936.67,"₦1,113.33","₦1,365.00","₦1,270.00",22-May-25,₦0.62,₦2.14,-₦1.67,-₦26.25
